"nombre","provincia","nivel","porcentaje","extranjerizada_ha","total_ha","id"
"Rosario Vera Peñaloza","La Rioja","Departamentos dentro del promedio nacional",0,"4.2599999999999998",611089.32,251
"General San Martín","La Rioja","Departamentos dentro del promedio nacional",0,"0.0",502857.99,252
"Famatina","La Rioja","Departamentos dentro del promedio nacional",0,"122.84",458572.53,253
"San Blas de Los Sauces","La Rioja","Departamentos dentro del promedio nacional",0,"0.40999999999999998",158957.63,254
"San Antonio","Jujuy","Departamentos dentro del promedio nacional",0,"28.559999999999999",68913.86,255
"Formosa","Formosa","Departamentos por encima del promedio nacional",11,"54999.260000000002",502819,256
"Pilcomayo","Formosa","Departamentos dentro del promedio nacional",4,"18070.580000000002",447182,257
"Ischilín","Cordoba","Departamentos dentro del promedio nacional",0,"2305.0799999999999",502776.74,258
"Totoral","Cordoba","Departamentos dentro del promedio nacional",1,"2919.1100000000001",303017.69,259
"General San Martín","Cordoba","Departamentos dentro del promedio nacional",1,"3011.5",494396,260
"San Javier","Cordoba","Departamentos dentro del promedio nacional",0,"129.5",152377.05,261
"Río Primero","Cordoba","Departamentos dentro del promedio nacional",1,"3659.2600000000002",670625.95,262
"Marcos Juárez","Cordoba","Departamentos dentro del promedio nacional",1,"13657.85",914066.89,263
"Leandro N. Alem","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",10,"16113.370000000001",155932.08,264
"Libertador General San Martín","Chaco","Departamentos dentro del promedio nacional",1,"7226.3400000000001",569103.18,265
"General Arenales","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"1149.26",139937.6,266
"Bermejo","Chaco","Departamentos dentro del promedio nacional",2,"5050.0100000000002",208396.63,267
"Calamuchita","Cordoba","Departamentos dentro del promedio nacional",1,"2705.4899999999998",456319.88,268
"Patagones","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"8783.3099999999995",1328234.44,269
"Comuna 9","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,270
"Mitre","Santiago del Estero","Departamentos dentro del promedio nacional",4,"15940.809999999999",366540,271
"Atamisqui","Santiago del Estero","Departamentos dentro del promedio nacional",0,"496.60000000000002",224733.67,272
"Jiménez","Santiago del Estero","Departamentos con alto nivel de extranjerización",16,"77123.850000000006",482880.53,273
"Coronel de Marina Leonardo Rosales","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"2314.1599999999999",103618.46,274
"Baradero","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"1512.5999999999999",107725.18,275
